candidate_offset_m,candidate_east_m,candidate_north_m,sat_id,system,prn,azimuth_deg,elevation_deg,candidate_lat_deg,candidate_lon_deg,candidate_height_m,rho_authorized_m,rho_candidate_m,delta_range_m
0,0,0,C01,BeiDou,1,144.940140842499,36.4222311239129,35.77204196,120.0247721,92.8890000013635,38018751.9301795,38018751.9301795,0
0,0,0,C02,BeiDou,2,226.143982126562,27.8769029793499,35.77204196,120.0247721,92.8890000013635,38794537.114773,38794537.114773,0
0,0,0,C03,BeiDou,3,193.791206477538,40.4414663985256,35.77204196,120.0247721,92.8890000013635,37749978.5277819,37749978.5277819,0
0,0,0,C04,BeiDou,4,128.263445539162,26.7167880823043,35.77204196,120.0247721,92.8890000013635,38903009.0511728,38903009.0511728,0
0,0,0,C05,BeiDou,5,248.678114368494,11.2768571098931,35.77204196,120.0247721,92.8890000013635,40408501.3666503,40408501.3666503,0
0,0,0,C06,BeiDou,6,169.207868805219,84.3979245008998,35.77204196,120.0247721,92.8890000013635,35760369.4962767,35760369.4962767,0
0,0,0,C07,BeiDou,7,241.159365277131,64.1498550764723,35.77204196,120.0247721,92.8890000013635,36532769.2762782,36532769.2762782,0
0,0,0,C09,BeiDou,9,311.167333846806,76.9754431310096,35.77204196,120.0247721,92.8890000013635,36099520.6658509,36099520.6658509,0
0,0,0,C10,BeiDou,10,240.07132263708,48.7660259028624,35.77204196,120.0247721,92.8890000013635,37577309.6788543,37577309.6788543,0
0,0,0,C11,BeiDou,11,72.5279721218669,63.1342273428575,35.77204196,120.0247721,92.8890000013635,22115817.5950794,22115817.5950794,0
0,0,0,C12,BeiDou,12,40.0007038488761,15.4910222784539,35.77204196,120.0247721,92.8890000013635,25569870.8658595,25569870.8658595,0
0,0,0,C16,BeiDou,16,159.417948756431,84.0262942277665,35.77204196,120.0247721,92.8890000013635,35840225.3097738,35840225.3097738,0
0,0,0,C20,BeiDou,20,311.55603579635,0.189664575187336,35.77204196,120.0247721,92.8890000013635,27177356.898596,27177356.898596,0
0,0,0,C23,BeiDou,23,328.597894235386,64.436339828731,35.77204196,120.0247721,92.8890000013635,22024613.6942614,22024613.6942614,0
0,0,0,C24,BeiDou,24,119.161219825853,2.29065140866484,35.77204196,120.0247721,92.8890000013635,26926730.9847477,26926730.9847477,0
0,0,0,C25,BeiDou,25,104.298508581701,56.7402734467387,35.77204196,120.0247721,92.8890000013635,22359307.6954181,22359307.6954181,0
0,0,0,C28,BeiDou,28,206.386776375561,18.9633038232933,35.77204196,120.0247721,92.8890000013635,25157226.0020789,25157226.0020789,0
0,0,0,C32,BeiDou,32,261.574224368151,3.39216574510125,35.77204196,120.0247721,92.8890000013635,26803285.6272685,26803285.6272685,0
