sat_id,system,prn,azimuth_start_deg,elevation_start_deg,azimuth_end_deg,elevation_end_deg,delta_azimuth_deg,delta_elevation_deg,angular_shift_deg,visibility_class
C01,BeiDou,1,144.940140842499,36.4222311239129,144.749796767671,36.5974778399472,-0.190344074828374,0.175246716034245,0.232631188127313,common
C02,BeiDou,2,226.143982126562,27.8769029793499,225.031820001417,26.4986928807495,-1.11216212514447,-1.37821009860046,1.69648278888934,common
C03,BeiDou,3,193.791206477538,40.4414663985256,193.703974392121,40.1787876732669,-0.0872320854163604,-0.262678725258617,0.270970272471995,common
C04,BeiDou,4,128.263445539162,26.7167880823043,127.608235458063,27.5329580787131,-0.655210081098943,0.81616999640886,1.00308652470112,common
C05,BeiDou,5,248.678114368494,11.2768571098931,247.461318822672,10.1979672989638,-1.2167955458217,-1.07888981092929,1.61032715578409,common
C06,BeiDou,6,169.207868805219,84.3979245008998,197.979317305733,55.7143697402747,28.7714485005142,-28.6835547606251,29.4837652432507,common
C07,BeiDou,7,241.159365277131,64.1498550764723,293.017755227639,68.5999973721015,51.8583899505082,4.45014229562915,20.5854030906126,common
C09,BeiDou,9,311.167333846806,76.9754431310096,228.527407436457,65.7715949554434,-82.6399264103485,-11.2038481755663,25.8019122014398,common
C10,BeiDou,10,240.07132263708,48.7660259028624,277.172668573895,54.4447973351216,37.1013459368147,5.67877143225922,23.4359742179417,common
C11,BeiDou,11,72.5279721218669,63.1342273428575,45.5419946537496,21.98681975388,-26.9859774681173,-41.1474075889776,44.976749174483,common
C16,BeiDou,16,159.417948756431,84.0262942277665,196.765810784572,55.4000681984827,37.3478620281415,-28.6262260292838,30.0433304748693,common
C23,BeiDou,23,328.597894235386,64.436339828731,158.133095384326,63.1475956709519,-170.464798851061,-1.28874415777911,52.2211090837923,common
C25,BeiDou,25,104.298508581701,56.7402734467387,144.690567450758,14.5796774843508,40.3920588690574,-42.1605959623879,52.0666344536016,common
C28,BeiDou,28,206.386776375561,18.9633038232933,245.566351669672,65.7651358023303,39.1795752941116,46.801831979037,53.3271839648527,common
C37,BeiDou,37,306.968984264072,15.7499045830938,305.045053317939,58.7292405466959,-1.92393094613317,42.9793359636021,43.0030001473203,common
C39,BeiDou,39,153.43642645435,69.0364610901,185.892676132472,42.4756698522767,32.4562496781224,-26.5607912378233,31.4338764684984,common
C40,BeiDou,40,238.133449063876,72.4681184959734,318.648516415098,70.4780787340118,80.5150673512218,-1.99003976196163,23.748559694715,common
C43,BeiDou,43,160.638437431094,71.7652213525373,43.5319531207646,50.1737524857159,-117.10648431033,-21.5914688668214,50.3490766235492,common
C59,BeiDou,59,150.975112118705,37.7551272316461,151.162366533643,37.2772541600372,0.187254414937257,-0.477873071608833,0.500422312721169,common
C60,BeiDou,60,229.733315756187,25.1663962814292,229.339478387202,24.7683009886432,-0.393837368985402,-0.398095292785992,0.534744099771811,common
E03,Galileo,3,301.836953441762,23.8363963907874,258.68787765115,10.3109828525926,-43.1490757906116,-13.5254135381948,43.2054151161147,common
E05,Galileo,5,243.181072266061,36.0993507957965,212.138568387701,1.76201190529411,-31.0425038783598,-34.3373388905024,44.7595225556067,common
E10,Galileo,10,143.228293077891,33.1731133750108,77.04510636929,61.7853869174861,-66.1831867086008,28.6122735424753,50.0621910153507,common
E11,Galileo,11,168.025806816244,17.1876021352556,148.826532418169,64.8826689032416,-19.1992743980748,47.695066767986,49.4190649235836,common
E12,Galileo,12,113.719988375524,40.3488971742001,51.0691771000113,41.6148520173053,-62.6508112755126,1.26595484310513,46.2319138250717,common
E25,Galileo,25,291.238292050294,33.4997901972843,334.914366568964,63.595802265349,43.6760745186696,30.0960120680647,40.3095043873094,common
E31,Galileo,31,74.1758686495729,29.5222939881519,112.388980715147,3.88349485017793,38.2131120655744,-25.638799137974,44.315392407818,common
G01,GPS,1,180.881654935049,10.5966687033255,160.21679852584,66.2010108862201,-20.6648564092091,55.6043421828947,57.3582550421481,common
G02,GPS,2,162.744094189024,38.3307645185855,60.8802627817246,64.0139120869416,-101.863831407299,25.6831475683562,60.8671006170327,common
G07,GPS,7,310.699831760305,44.5970143678153,222.503273517719,51.4257797645482,-88.1965582425861,6.82876539673284,55.744257364258,common
G08,GPS,8,332.725686665226,81.2319677281602,57.0504926161877,36.6417381878409,84.3248059509614,-44.5902295403193,52.9917391005568,common
G27,GPS,27,41.4751921749809,52.3215536815787,67.9158610184561,7.97489807421182,26.4406688434752,-44.3466556073669,49.3221670308121,common
G30,GPS,30,315.871114225485,16.8304272407389,270.764850166143,49.4310083970003,-45.1062640593423,32.6005811562614,48.7533261966949,common
J02,QZSS,2,71.2281829448801,68.6509551824396,88.9920323453193,66.3947499318915,17.7638494004391,-2.25620525054809,7.12660803998719,common
J03,QZSS,3,139.923079786983,38.8623226544958,131.087791790605,60.6540929462348,-8.83528799637716,21.791770291739,22.4803040192797,common
J04,QZSS,4,176.690791642845,11.9072892993498,166.388700927801,6.77919837417285,-10.3020907150436,-5.12809092517699,11.3820485608024,common
J07,QZSS,7,168.084078542637,47.7971767473582,168.081401665392,47.7649736399741,-0.00267687724507937,-0.0322031073841558,0.0322533051282202,common
J08,QZSS,8,224.11530306443,38.0790948276611,224.118381510796,38.1062849795767,0.00307844636543564,0.0271901519156117,0.0272978794328909,common
R14,GLONASS,14,13.8945961196384,60.124291456179,134.482873479429,39.3894438020622,120.58827735979,-20.7348476541168,69.2459368912706,common
R15,GLONASS,15,316.592767508527,23.1294782499385,12.532108861982,78.7429075540931,55.9393413534551,55.6134293041546,60.9352850644999,common
R17,GLONASS,17,186.585700385426,29.0214422237461,347.779509237035,78.5208925997368,161.193808851609,49.4994503759907,71.8985376030135,common
R24,GLONASS,24,111.656726369445,70.3295215593278,32.9162508423969,24.928966516007,-78.7404755270483,-45.4005550433208,62.8386117032675,common
C27,BeiDou,27,NaN,NaN,234.570322116621,22.6429473188568,NaN,NaN,NaN,end_only
C38,BeiDou,38,NaN,NaN,167.295273671578,1.34161132973969,NaN,NaN,NaN,end_only
C46,BeiDou,46,NaN,NaN,317.863917169987,6.08240432000276,NaN,NaN,NaN,end_only
E02,Galileo,2,NaN,NaN,303.227004602536,14.7509414179952,NaN,NaN,NaN,end_only
E08,Galileo,8,NaN,NaN,306.39793472406,5.31376706106739,NaN,NaN,NaN,end_only
E18,Galileo,18,NaN,NaN,256.082225915901,4.11576335821169,NaN,NaN,NaN,end_only
E36,Galileo,36,NaN,NaN,195.845584527973,23.5481834944128,NaN,NaN,NaN,end_only
G03,GPS,3,NaN,NaN,154.384798464352,6.0117270685423,NaN,NaN,NaN,end_only
G10,GPS,10,NaN,NaN,39.1965844063903,5.43463532302029,NaN,NaN,NaN,end_only
G13,GPS,13,NaN,NaN,307.833491761116,3.12836414342701,NaN,NaN,NaN,end_only
G14,GPS,14,NaN,NaN,310.874810492571,32.2342220094746,NaN,NaN,NaN,end_only
G17,GPS,17,NaN,NaN,262.220907940582,19.2462606896468,NaN,NaN,NaN,end_only
G22,GPS,22,NaN,NaN,306.556009694531,17.7362455402883,NaN,NaN,NaN,end_only
R16,GLONASS,16,NaN,NaN,327.43731184735,25.5267046736319,NaN,NaN,NaN,end_only
R18,GLONASS,18,NaN,NaN,225.307388343432,44.5469629619808,NaN,NaN,NaN,end_only
C12,BeiDou,12,40.0007038488761,15.4910222784539,NaN,NaN,NaN,NaN,NaN,start_only
C20,BeiDou,20,311.55603579635,0.189664575187336,NaN,NaN,NaN,NaN,NaN,start_only
C24,BeiDou,24,119.161219825853,2.29065140866484,NaN,NaN,NaN,NaN,NaN,start_only
C32,BeiDou,32,261.574224368151,3.39216574510125,NaN,NaN,NaN,NaN,NaN,start_only
C34,BeiDou,34,50.0722688709258,39.7023083999749,NaN,NaN,NaN,NaN,NaN,start_only
E09,Galileo,9,191.358997604546,14.0054991692637,NaN,NaN,NaN,NaN,NaN,start_only
E14,Galileo,14,53.7749593859786,8.83136998799334,NaN,NaN,NaN,NaN,NaN,start_only
E33,Galileo,33,51.2689955858901,23.6062151627185,NaN,NaN,NaN,NaN,NaN,start_only
G04,GPS,4,207.356996904332,16.4109699405117,NaN,NaN,NaN,NaN,NaN,start_only
G09,GPS,9,241.061703374108,24.3979465631701,NaN,NaN,NaN,NaN,NaN,start_only
G16,GPS,16,75.5289324392411,33.2505831120815,NaN,NaN,NaN,NaN,NaN,start_only
G26,GPS,26,97.5851843278581,7.74188913173984,NaN,NaN,NaN,NaN,NaN,start_only
G31,GPS,31,142.15193411124,0.973239129435446,NaN,NaN,NaN,NaN,NaN,start_only
R04,GLONASS,4,247.668515053882,10.0570538203373,NaN,NaN,NaN,NaN,NaN,start_only
R05,GLONASS,5,295.021669674052,14.9462891545334,NaN,NaN,NaN,NaN,NaN,start_only
R06,GLONASS,6,341.024363427504,1.83260068699633,NaN,NaN,NaN,NaN,NaN,start_only
R13,GLONASS,13,97.7282924648508,29.6521405491911,NaN,NaN,NaN,NaN,NaN,start_only
R23,GLONASS,23,30.5839515668123,21.8599485900877,NaN,NaN,NaN,NaN,NaN,start_only
